lane,lane2,begin_lp,end_lp
:0_5_0,:0_15_0,5.45,13.85
:0_15_0,:0_5_0,10.65,18.65
:0_7_0,:0_13_0,10.65,18.65
:0_13_0,:0_7_0,5.45,13.85
:0_8_0,:0_13_0,2.05,9.95
:0_13_0,:0_8_0,11.25,21.25
:0_9_0,:0_13_0,2.15,9.35
:0_13_0,:0_9_0,12.15,19.35
:0_9_0,:0_4_0,11.25,21.25
:0_4_0,:0_9_0,2.05,9.95
:0_9_0,:0_5_0,12.15,19.35
:0_5_0,:0_9_0,2.15,9.35
:0_9_0,:0_7_0,7.65,15.75
:0_7_0,:0_9_0,2.05,10.15
:0_11_0,:0_13_0,2.05,10.15
:0_13_0,:0_11_0,7.65,15.75
:0_11_0,:0_15_0,8.05,16.45
:0_15_0,:0_11_0,3.15,12.85
:0_11_0,:0_7_0,3.15,12.85
:0_7_0,:0_11_0,8.05,16.45
:0_0_0,:0_5_0,2.05,9.95
:0_5_0,:0_0_0,11.25,21.25
:0_1_0,:0_12_0,11.25,21.25
:0_12_0,:0_1_0,2.05,9.95
:0_1_0,:0_13_0,12.15,19.35
:0_13_0,:0_1_0,2.15,9.35
:0_1_0,:0_15_0,7.65,15.75
:0_15_0,:0_1_0,2.05,10.15
:0_1_0,:0_5_0,2.15,9.35
:0_5_0,:0_1_0,12.15,19.35
:0_1_0,:0_11_0,5.45,13.85
:0_11_0,:0_1_0,10.65,18.65
:0_3_0,:0_15_0,3.15,12.85
:0_15_0,:0_3_0,8.05,16.45
:0_3_0,:0_5_0,2.05,10.15
:0_5_0,:0_3_0,7.65,15.75
:0_3_0,:0_7_0,8.05,16.45
:0_7_0,:0_3_0,3.15,12.85
:0_3_0,:0_9_0,10.65,18.65
:0_9_0,:0_3_0,5.45,13.85
